lng,lat,name
7.0825399 , 51.4967089 ,"Burger King"
9.5021198 , 53.2924988 ,"Burger King"
10.2584097 , 52.3414589 ,"Burger King"
6.8550498 , 51.5166090 ,"Burger King"
9.6883197 , 52.6935689 ,"Burger King"
9.6865298 , 52.6953490 ,"Burger King"
6.6370499 , 51.4545990 ,"Burger King"
7.3475699 , 52.5411690 ,"Burger King"
7.6338399 , 51.9070789 ,"Burger King"
8.6292198 , 53.0525589 ,"Burger King"
9.3562398 , 52.1052089 ,"Burger King"
7.1977498 , 51.2701189 ,"Burger King"
9.9327398 , 54.0140689 ,"Burger King"
9.9305398 , 54.0931589 ,"Burger King"
10.0015998 , 53.6650189 ,"Burger King"
7.5506198 , 51.9414789 ,"Burger King"
6.9968399 , 52.0735989 ,"Burger King"
10.2243498 , 53.3528060 ,"Burger King"
8.9107498 , 52.2996490 ,"Burger King"
10.3242698 , 53.6946689 ,"Burger King"
7.8751299 , 51.6305889 ,"Burger King"
10.0513598 , 52.1260589 ,"Burger King"
8.1693498 , 52.6593719 ,"Burger King"
8.7408498 , 53.0534289 ,"Burger King"
6.7694498 , 51.4964190 ,"Burger King"
8.9674898 , 53.0578789 ,"Burger King"
7.1741098 , 51.3996616 ,"Burger King"
10.4801698 , 51.1988489 ,"Burger King"
8.6441499 , 52.0609888 ,"Burger King"
8.3199898 , 51.8453890 ,"Burger King"
6.8125098 , 51.2192490 ,"Burger King"
6.4713199 , 51.3270790 ,"Burger King"
10.0368898 , 53.5523889 ,"Burger King"
10.0514898 , 53.6088488 ,"Burger King"
8.8902697 , 53.0346289 ,"Burger King"
8.8078799 , 53.0303289 ,"Burger King"
8.6226898 , 52.3060889 ,"Burger King"
7.3103298 , 51.5821690 ,"Burger King"
8.5771398 , 53.5430289 ,"Burger King"
7.0404699 , 51.2042190 ,"Burger King"
10.4089498 , 51.9333890 ,"Burger King"
6.8884998 , 52.2216890 ,"Burger King"
6.8972899 , 52.2181789 ,"Burger King"
6.8934898 , 52.7810989 ,"Burger King"
9.9369798 , 51.5562789 ,"Burger King"
6.9632899 , 51.1582861 ,"Burger King"
8.0538398 , 51.4107352 ,"Burger King"
10.0039498 , 53.6160115 ,"Burger King"
8.5390698 , 52.0231280 ,"Burger King"
9.9382598 , 51.5632631 ,"Burger King"
7.2158698 , 52.2039933 ,"Burger King"
6.2572498 , 51.5803589 ,"Burger King"
7.5492499 , 52.1594990 ,"Burger King"
9.9523798 , 52.1596418 ,"Burger King"
7.4327398 , 52.3184435 ,"Burger King"
10.2265198 , 54.2897267 ,"Burger King"
7.4181099 , 52.2774030 ,"Burger King"
6.4517899 , 51.1529059 ,"Burger King"
6.4094799 , 51.1956258 ,"Burger King"
7.0455599 , 51.5845137 ,"Burger King"
9.3877798 , 51.7866924 ,"Burger King"
7.7706598 , 51.9814532 ,"Burger King"
7.6335598 , 51.9558921 ,"Burger King"
8.5538298 , 52.1925054 ,"Burger King"
7.8618898 , 53.0240677 ,"Burger King"
7.2931698 , 51.5559842 ,"Burger King"
